Año,Tipo de vehículo,Combustible,Unidades
2005,Motocicletas,Gasolina,3215
2006,Motocicletas,Gasolina,3626
2007,Motocicletas,Gasolina,4163
2008,Motocicletas,Gasolina,4492
2009,Motocicletas,Gasolina,4762
2010,Motocicletas,Gasolina,4929
2011,Motocicletas,Gasolina,5140
2012,Motocicletas,Gasolina,5282
2013,Motocicletas,Gasolina,5432
2014,Motocicletas,Gasolina,5605
2015,Motocicletas,Gasolina,5757
2016,Motocicletas,Gasolina,5989
2017,Motocicletas,Gasolina,6187
2018,Motocicletas,Gasolina,6400
2019,Motocicletas,Gasolina,6668
